ax,ay,az,gx,gy,gz,time
1.22,0.34,10.46,-0.1,2.28,-0.06,1771658355.9274082
0.75,1.47,14.62,0.1,2.75,-0.14,1771658355.9405088
0.75,1.47,14.62,0.04,3.33,-0.52,1771658355.953439
2.64,0.24,11.69,-0.08,3.25,-0.52,1771658355.966485
2.25,-0.49,9.63,-0.24,3.05,-0.43,1771658355.979369
2.25,-0.49,9.63,-0.24,2.63,-0.23,1771658355.992477
1.57,0.19,9.18,-0.27,2.43,-0.25,1771658356.005441
2.94,-0.18,8.17,-0.35,1.54,-0.13,1771658356.0183868
2.94,-0.18,8.17,-0.34,0.83,-0.07,1771658356.031492
3.42,0.0,7.28,-0.25,-0.04,-0.01,1771658356.0444212
3.78,0.65,7.19,-0.02,-1.81,-0.13,1771658356.057657
5.27,-1.28,7.58,0.03,-2.91,-0.04,1771658356.070527
5.27,-1.28,7.58,-0.01,-3.92,0.17,1771658356.083522
3.56,-0.01,8.47,-0.15,-5.05,0.04,1771658356.096426
1.92,0.23,9.86,0.38,-5.29,0.03,1771658356.1094751
1.92,0.23,9.86,0.36,-5.24,0.08,1771658356.122654
-0.01,-0.39,12.22,0.41,-3.26,0.51,1771658356.135938
-3.01,0.84,20.59,0.15,-0.88,0.66,1771658356.148583
-3.01,0.84,20.59,-0.27,1.15,0.31,1771658356.1614048
-0.96,0.7,13.04,-0.22,3.7,0.0,1771658356.1746602
1.87,0.5,9.28,-0.12,3.93,-0.22,1771658356.187603
3.21,0.32,8.69,-0.12,3.76,-0.39,1771658356.200632
3.21,0.32,8.69,0.04,2.88,-0.22,1771658356.2134888
1.95,0.2,10.64,0.03,2.56,-0.11,1771658356.226536
0.44,0.12,11.77,0.05,2.45,-0.06,1771658356.23951
0.44,0.12,11.77,-0.07,2.83,-0.21,1771658356.252447
0.55,0.01,12.25,-0.19,2.98,-0.22,1771658356.2655418
1.5,-0.29,10.75,-0.35,2.92,-0.24,1771658356.278451
2.25,0.09,8.6,-0.39,2.36,-0.25,1771658356.291518
2.25,0.09,8.6,-0.35,1.79,-0.2,1771658356.3046532
2.11,-0.33,7.46,-0.28,1.04,-0.11,1771658356.317517
2.22,-0.39,6.62,-0.08,-0.47,-0.01,1771658356.330521
2.22,-0.39,6.62,0.03,-1.28,0.08,1771658356.3434591
1.71,-0.08,7.23,0.1,-2.09,0.02,1771658356.356541
3.24,-0.69,7.55,0.25,-3.85,-0.19,1771658356.369455
3.24,-0.69,7.55,0.11,-4.5,-0.11,1771658356.382443
2.22,-1.02,8.82,0.39,-4.85,0.02,1771658356.395529
0.76,-1.27,10.39,0.67,-4.25,0.45,1771658356.4085178
-0.76,0.92,14.03,0.4,-3.33,0.57,1771658356.42153
-0.76,0.92,14.03,0.19,-2.21,0.47,1771658356.43446
-0.95,1.29,13.27,0.09,-0.01,0.07,1771658356.44749
1.58,0.36,11.09,0.07,0.79,0.09,1771658356.4605482
1.58,0.36,11.09,-0.13,1.75,0.08,1771658356.4734452
2.14,0.16,10.4,-0.28,1.78,0.03,1771658356.4865339
2.72,-0.22,9.23,-0.26,1.55,0.09,1771658356.499552
2.72,-0.22,9.23,-0.06,1.78,0.12,1771658356.512513
0.27,0.29,10.72,-0.03,2.22,-0.02,1771658356.525494
-0.43,0.2,12.77,-0.19,2.67,-0.19,1771658356.538541
